time,car_sst
2017-12-01,27.860893
2018-01-01,27.124615
2018-02-01,26.683512
2018-03-01,26.789753
2018-04-01,27.429289
2018-05-01,27.905422
2018-06-01,28.138762
2018-07-01,28.543512
2018-08-01,28.897898
2018-09-01,29.297874
2018-10-01,28.715439
2018-11-01,28.388847
2018-12-01,27.731373
2019-01-01,27.017273
2019-02-01,26.83593
2019-03-01,26.75858
2019-04-01,27.292198
2019-05-01,27.920515
2019-06-01,28.536137
2019-07-01,28.746796
2019-08-01,29.0302
2019-09-01,29.361317
2019-10-01,29.208769
2019-11-01,28.679508
2019-12-01,27.95614
2020-01-01,27.496538
2020-02-01,27.317476
2020-03-01,27.17575
2020-04-01,27.831812
2020-05-01,28.52337
2020-06-01,28.771524
2020-07-01,29.159224
2020-08-01,29.32636
2020-09-01,29.374805
2020-10-01,29.114862
2020-11-01,28.396038
2020-12-01,27.797028
2021-01-01,27.15301
2021-02-01,26.847633
2021-03-01,26.820536
2021-04-01,27.28052
2021-05-01,28.035782
2021-06-01,28.301853
2021-07-01,28.615725
2021-08-01,28.979982
2021-09-01,29.179018
2021-10-01,29.131826
2021-11-01,28.57368
2021-12-01,27.760859
2022-01-01,27.195446
2022-02-01,26.952517
2022-03-01,26.988787
2022-04-01,27.422274
2022-05-01,27.91117
2022-06-01,28.141886
2022-07-01,28.522764
2022-08-01,28.896046
2022-09-01,29.186398
2022-10-01,28.9574
2022-11-01,28.54924
2022-12-01,27.556726
2023-01-01,26.993868
2023-02-01,26.634855
2023-03-01,26.896484
2023-04-01,27.65625
2023-05-01,28.555643
2023-06-01,29.257898
2023-07-01,29.397976
2023-08-01,29.693123
2023-09-01,30.142721
2023-10-01,30.094189
2023-11-01,29.22696
2023-12-01,28.291912
2024-01-01,27.712269
2024-02-01,27.4179
2024-03-01,27.78624
2024-04-01,28.202223
2024-05-01,29.13058
2024-06-01,29.39881
2024-07-01,29.455166
2024-08-01,29.734016
2024-09-01,29.994978
2024-10-01,29.983898
2024-11-01,29.023853
2024-12-01,28.312431
