date,tna_sst
1932-02,25.998922
1932-03,26.422422
1932-04,26.846996
1932-05,27.540882
1932-06,28.04545
1932-07,28.16999
1932-08,28.628382
1932-09,28.909634
1932-10,28.468416
1932-11,27.719894
1932-12,26.920475
1933-01,26.34011
1933-02,25.931824
1933-03,26.127007
1933-04,26.786352
1933-05,27.522703
1933-06,27.876503
1933-07,28.034899
1933-08,28.225353
1933-09,28.330812
1933-10,28.153973
1933-11,27.486511
1933-12,26.878857
1934-01,26.181063
1934-02,25.796076
1934-03,25.970976
1934-04,26.581501
1934-05,27.240328
1934-06,27.643993
1934-07,27.853762
1934-08,28.238949
1934-09,28.483767
1934-10,28.346706
1934-11,27.707703
1934-12,26.91865
1935-01,26.324951
1935-02,25.951727
1935-03,25.973932
1935-04,26.725153
1935-05,27.33308
1935-06,27.679722
1935-07,27.92575
1935-08,28.164986
1935-09,28.314453
1935-10,28.103502
1935-11,27.541193
1935-12,26.901941
1936-01,26.344372
1936-02,26.205603
1936-03,26.296024
1936-04,26.710665
1936-05,27.579357
1936-06,28.12666
1936-07,28.194944
1936-08,28.355253
1936-09,28.559807
1936-10,28.34329
1936-11,27.79258
1936-12,26.991798
1937-01,26.343752
1937-02,26.118795
1937-03,26.557016
1937-04,26.89391
1937-05,27.655605
1937-06,27.921074
1937-07,28.207857
1937-08,28.577507
1937-09,28.896378
1937-10,28.702583
1937-11,28.117119
1937-12,27.131853
1938-01,26.231459
1938-02,25.587402
1938-03,25.828472
1938-04,26.15139
1938-05,27.037325
1938-06,27.430239
1938-07,27.772451
1938-08,28.013641
1938-09,28.398413
1938-10,28.309393
1938-11,27.741365
1938-12,26.885353
1939-01,26.081404
1939-02,25.724314
1939-03,25.641516
1939-04,26.19399
1939-05,27.05553
1939-06,27.628323
1939-07,27.943789
1939-08,28.319286
1939-09,28.676844
1939-10,28.620556
1939-11,27.911783
1939-12,27.321817
1940-01,26.942043
1940-02,26.402514
1940-03,26.618038
1940-04,27.405378
1940-05,27.920954
1940-06,28.45352
1940-07,28.596998
1940-08,28.915026
1940-09,28.964592
1940-10,28.733479
1940-11,28.302353
1940-12,27.650356
1941-01,27.031252
1941-02,26.995825
1941-03,27.030027
1941-04,27.676525
1941-05,28.193705
1941-06,28.646988
1941-07,28.456766
1941-08,28.879223
1941-09,29.098705
1941-10,29.056267
1941-11,28.63591
1941-12,28.060093
1942-01,27.188532
1942-02,27.056963
1942-03,27.205494
1942-04,27.67459
1942-05,28.016336
1942-06,28.137403
1942-07,28.159891
1942-08,28.23187
1942-09,28.512531
1942-10,28.357008
1942-11,27.996141
1942-12,27.321362
1943-01,26.593094
1943-02,26.394323
1943-03,26.331303
1943-04,26.856474
1943-05,27.458313
1943-06,27.797173
1943-07,27.957685
1943-08,28.37781
1943-09,28.822517
1943-10,28.580603
1943-11,27.94607
1943-12,27.180708
1944-01,26.540737
1944-02,26.36471
1944-03,26.51796
1944-04,27.035963
1944-05,27.437145
1944-06,27.852037
1944-07,28.323614
1944-08,28.709124
1944-09,28.959997
1944-10,28.661047
1944-11,28.039547
1944-12,26.966318
1945-01,26.297394
1945-02,26.132494
1945-03,26.258228
1945-04,26.791983
1945-05,27.648539
1945-06,27.894182
1945-07,28.092579
1945-08,28.851112
1945-09,29.078676
1945-10,28.40139
1945-11,28.190977
1945-12,27.526857
1946-01,26.859251
1946-02,26.193798
1946-03,26.177025
1946-04,26.61166
1946-05,27.307129
1946-06,27.743223
1946-07,27.611242
1946-08,28.067244
1946-09,28.553465
1946-10,28.467083
1946-11,27.968737
1946-12,27.189491
1947-01,26.345783
1947-02,26.34006
1947-03,26.586859
1947-04,26.86681
1947-05,27.03507
1947-06,27.693735
1947-07,27.841743
1947-08,28.070831
1947-09,28.315935
1947-10,28.28995
1947-11,28.021538
1947-12,27.150862
1948-01,26.497446
1948-02,26.31106
1948-03,26.333904
1948-04,26.625757
1948-05,27.543598
1948-06,28.188032
1948-07,28.081507
1948-08,28.419117
1948-09,28.435709
1948-10,28.340727
1948-11,27.873552
1948-12,26.977112
1949-01,26.5762
1949-02,26.130896
1949-03,26.262259
1949-04,26.92893
1949-05,27.429272
1949-06,27.817678
1949-07,27.938335
1949-08,28.175554
1949-09,28.45066
1949-10,28.148102
1949-11,27.806305
1949-12,26.936237
1950-01,25.871157
1950-02,25.682428
1950-03,25.95688
1950-04,26.197062
1950-05,26.86793
1950-06,27.398312
1950-07,27.67614
1950-08,28.171803
1950-09,28.538263
1950-10,28.123932
1950-11,27.554178
1950-12,26.747957
1951-01,26.181458
1951-02,25.727116
1951-03,25.681004
1951-04,26.77457
1951-05,27.70699
1951-06,28.173119
1951-07,28.444942
1951-08,28.76956
1951-09,28.921503
1951-10,28.814367
1951-11,28.272194
1951-12,27.387589
1952-01,26.619566
1952-02,26.283722
1952-03,26.763773
1952-04,27.12289
1952-05,27.970358
1952-06,28.174456
1952-07,28.340532
1952-08,28.731754
1952-09,28.929836
1952-10,28.777021
1952-11,28.153437
1952-12,27.199886
1953-01,26.436888
1953-02,26.296673
1953-03,26.292852
1953-04,27.211752
1953-05,27.819597
1953-06,28.080105
1953-07,28.456863
1953-08,28.690887
1953-09,28.941755
1953-10,28.721498
1953-11,28.22217
1953-12,27.48765
1954-01,26.73564
1954-02,26.287607
1954-03,26.64111
1954-04,26.863222
1954-05,27.61404
1954-06,27.923048
1954-07,28.135818
1954-08,28.452324
1954-09,28.482903
1954-10,27.841795
1954-11,27.575912
1954-12,26.805601
1955-01,26.3795
1955-02,25.984783
1955-03,25.877527
1955-04,26.352964
1955-05,27.270742
1955-06,27.694977
1955-07,27.927692
1955-08,28.533
1955-09,28.587778
1955-10,28.291365
1955-11,27.837322
1955-12,27.001854
1956-01,26.254438
1956-02,26.069218
1956-03,26.253601
1956-04,26.824167
1956-05,27.387287
1956-06,27.706596
1956-07,27.937374
1956-08,28.444134
1956-09,28.456438
1956-10,28.416786
1956-11,27.785421
1956-12,27.091784
1957-01,26.35417
1957-02,26.000513
1957-03,26.60283
1957-04,26.870584
1957-05,27.6851
1957-06,28.216703
1957-07,28.484495
1957-08,28.851782
1957-09,29.019325
1957-10,28.874485
1957-11,28.258875
1957-12,27.38063
1958-01,26.934206
1958-02,26.57016
1958-03,27.061783
1958-04,27.685713
1958-05,28.322063
1958-06,28.768694
1958-07,28.64041
1958-08,28.934095
1958-09,29.045855
1958-10,28.857473
1958-11,28.331924
1958-12,27.66278
1959-01,27.019583
1959-02,26.667864
1959-03,26.911787
1959-04,27.304676
1959-05,27.7422
1959-06,28.093235
1959-07,28.347656
1959-08,28.494396
1959-09,28.766861
1959-10,28.582327
1959-11,28.121881
1959-12,27.435753
1960-01,27.04072
1960-02,27.067692
1960-03,26.974863
1960-04,27.33225
1960-05,28.180159
1960-06,28.311516
1960-07,28.410618
1960-08,28.617771
1960-09,28.81131
1960-10,28.657217
1960-11,28.240282
1960-12,27.334187
1961-01,26.882105
1961-02,26.799168
1961-03,26.803947
1961-04,27.363258
1961-05,27.842813
1961-06,28.000175
1961-07,28.15013
1961-08,28.413399
1961-09,28.532782
1961-10,28.447206
1961-11,27.88235
1961-12,27.152233
1962-01,26.668936
1962-02,26.490545
1962-03,26.618484
1962-04,26.992609
1962-05,27.609827
1962-06,27.97034
1962-07,28.306934
1962-08,28.664282
1962-09,28.710453
1962-10,28.624565
1962-11,28.07487
1962-12,27.397268
1963-01,26.77954
1963-02,26.629791
1963-03,26.73544
1963-04,27.260075
1963-05,27.656061
1963-06,27.966213
1963-07,28.212183
1963-08,28.722193
1963-09,28.882118
1963-10,28.96762
1963-11,28.247631
1963-12,27.458672
1964-01,26.846111
1964-02,26.745615
1964-03,26.873016
1964-04,27.136202
1964-05,27.740192
1964-06,28.041916
1964-07,28.204079
1964-08,28.384748
1964-09,28.610638
1964-10,28.401056
1964-11,27.875864
1964-12,26.904884
1965-01,26.104153
1965-02,26.029781
1965-03,26.31775
1965-04,26.901253
1965-05,27.524029
1965-06,27.821728
1965-07,28.040537
1965-08,28.232883
1965-09,28.444967
1965-10,28.530828
1965-11,28.096987
1965-12,27.455956
1966-01,26.88842
1966-02,26.562239
1966-03,26.458376
1966-04,27.157372
1966-05,27.480427
1966-06,27.80122
1966-07,28.281351
1966-08,28.44502
1966-09,28.696768
1966-10,28.54451
1966-11,27.868973
1966-12,27.018478
1967-01,26.29752
1967-02,26.188904
1967-03,26.275866
1967-04,26.713543
1967-05,27.29292
1967-06,27.729137
1967-07,27.88034
1967-08,28.110239
1967-09,28.472633
1967-10,28.36773
1967-11,27.813656
1967-12,27.105947
1968-01,26.279127
1968-02,25.928799
1968-03,26.145859
1968-04,26.591679
1968-05,27.440317
1968-06,27.77668
1968-07,28.017548
1968-08,28.455523
1968-09,28.782421
1968-10,28.545527
1968-11,28.072315
1968-12,27.430544
1969-01,26.753101
1969-02,26.452139
1969-03,26.958006
1969-04,27.75409
1969-05,28.560293
1969-06,28.82829
1969-07,28.839306
1969-08,28.787947
1969-09,28.97505
1969-10,28.699474
1969-11,28.199284
1969-12,27.350025
1970-01,26.841269
1970-02,26.550846
1970-03,26.54947
1970-04,27.309158
1970-05,27.59091
1970-06,28.011688
1970-07,28.125334
1970-08,28.369392
1970-09,28.403627
1970-10,28.339924
1970-11,27.80772
1970-12,26.913557
1971-01,26.289625
1971-02,26.085499
1971-03,26.274666
1971-04,26.631079
1971-05,27.378288
1971-06,27.72538
1971-07,27.794605
1971-08,28.03519
1971-09,28.23988
1971-10,28.066814
1971-11,27.646303
1971-12,26.917118
1972-01,26.28872
1972-02,26.093456
1972-03,26.311855
1972-04,27.010527
1972-05,27.46978
1972-06,27.80282
1972-07,28.041746
1972-08,28.198996
1972-09,28.448452
1972-10,28.470291
1972-11,28.091925
1972-12,27.539877
1973-01,26.948273
1973-02,26.63943
1973-03,26.908173
1973-04,27.287598
1973-05,27.768644
1973-06,28.039965
1973-07,28.274502
1973-08,28.364883
1973-09,28.494377
1973-10,28.194592
1973-11,27.652025
1973-12,26.654055
1974-01,26.100416
1974-02,25.967485
1974-03,26.102503
1974-04,26.643778
1974-05,27.146055
1974-06,27.624523
1974-07,27.952185
1974-08,28.118002
1974-09,28.132204
1974-10,27.972567
1974-11,27.534975
1974-12,26.894047
1975-01,26.213596
1975-02,26.049204
1975-03,26.324942
1975-04,26.810059
1975-05,27.374077
1975-06,27.772217
1975-07,27.866001
1975-08,28.11281
1975-09,28.189821
1975-10,28.084917
1975-11,27.411734
1975-12,26.607504
1976-01,25.75806
1976-02,25.512949
1976-03,25.72455
1976-04,26.40062
1976-05,27.192663
1976-06,27.546473
1976-07,27.801659
1976-08,28.23859
1976-09,28.426027
1976-10,28.485
1976-11,28.024828
1976-12,27.277214
1977-01,26.608215
1977-02,26.482494
1977-03,26.598478
1977-04,26.846128
1977-05,27.44818
1977-06,27.855997
1977-07,28.046782
1977-08,28.229612
1977-09,28.53236
1977-10,28.348803
1977-11,28.005594
1977-12,27.281694
1978-01,26.734926
1978-02,26.394047
1978-03,26.662992
1978-04,27.244509
1978-05,27.878288
1978-06,28.181255
1978-07,28.16873
1978-08,28.260124
1978-09,28.476025
1978-10,28.43192
1978-11,28.062593
1978-12,27.257204
1979-01,26.63802
1979-02,26.55552
1979-03,26.503979
1979-04,26.836018
1979-05,27.65146
1979-06,28.04332
1979-07,28.263905
1979-08,28.447641
1979-09,28.46083
1979-10,28.573597
1979-11,28.074287
1979-12,27.420092
1980-01,26.743626
1980-02,26.522196
1980-03,26.492931
1980-04,27.03692
1980-05,28.070547
1980-06,28.388964
1980-07,28.51837
1980-08,28.668406
1980-09,28.741877
1980-10,28.633799
1980-11,28.14918
1980-12,27.343637
1981-01,26.595322
1981-02,26.55505
1981-03,26.744284
1981-04,27.08434
1981-05,27.952148
1981-06,28.123594
1981-07,28.516323
1981-08,28.545338
1981-09,28.794662
1981-10,28.508736
1981-11,28.036234
1981-12,27.320213
1982-01,26.71608
1982-02,26.572369
1982-03,26.704184
1982-04,27.257269
1982-05,27.612228
1982-06,27.96801
1982-07,28.145088
1982-08,28.37461
1982-09,28.4932
1982-10,28.433666
1982-11,27.909595
1982-12,27.234737
1983-01,26.834091
1983-02,26.722416
1983-03,26.968105
1983-04,27.411674
1983-05,28.073229
1983-06,28.693401
1983-07,28.77182
1983-08,28.913109
1983-09,28.818073
1983-10,28.655901
1983-11,28.28624
1983-12,27.581528
1984-01,26.907904
1984-02,26.616152
1984-03,26.697325
1984-04,27.109577
1984-05,27.5189
1984-06,27.681925
1984-07,27.8237
1984-08,27.95834
1984-09,28.154951
1984-10,28.149906
1984-11,27.552668
1984-12,26.828804
1985-01,26.20142
1985-02,25.963236
1985-03,26.08364
1985-04,26.56242
1985-05,27.488752
1985-06,27.940779
1985-07,28.109898
1985-08,28.355272
1985-09,28.501726
1985-10,28.177483
1985-11,27.623583
1985-12,26.949545
1986-01,26.263996
1986-02,26.225813
1986-03,26.214983
1986-04,26.755976
1986-05,27.574442
1986-06,27.815182
1986-07,28.076498
1986-08,28.337559
1986-09,28.295887
1986-10,28.129686
1986-11,27.85796
1986-12,27.235535
1987-01,26.597527
1987-02,26.485659
1987-03,26.84212
1987-04,27.294134
1987-05,27.971432
1987-06,28.513685
1987-07,28.588737
1987-08,28.857206
1987-09,29.147112
1987-10,28.864796
1987-11,28.467213
1987-12,27.848248
1988-01,26.995539
1988-02,26.581745
1988-03,26.596336
1988-04,27.042542
1988-05,27.877728
1988-06,28.30856
1988-07,28.479965
1988-08,28.52441
1988-09,28.389906
1988-10,28.267452
1988-11,27.866682
1988-12,26.98289
1989-01,26.317692
1989-02,25.89593
1989-03,25.894646
1989-04,26.658823
1989-05,27.338657
1989-06,27.645435
1989-07,28.129332
1989-08,28.41424
1989-09,28.49676
1989-10,28.243587
1989-11,27.960316
1989-12,27.394156
1990-01,26.671995
1990-02,26.35533
1990-03,26.345732
1990-04,26.98088
1990-05,27.606342
1990-06,27.985828
1990-07,28.10167
1990-08,28.524347
1990-09,28.84259
1990-10,28.60163
1990-11,28.015642
1990-12,27.262308
1991-01,26.682375
1991-02,26.365046
1991-03,26.67749
1991-04,26.976545
1991-05,27.628601
1991-06,27.997868
1991-07,28.198986
1991-08,28.569645
1991-09,28.723816
1991-10,28.404501
1991-11,27.8121
1991-12,27.026485
1992-01,26.374678
1992-02,26.369585
1992-03,26.632027
1992-04,27.206598
1992-05,27.474072
1992-06,28.207376
1992-07,28.171284
1992-08,28.394482
1992-09,28.386585
1992-10,28.326727
1992-11,27.985992
1992-12,27.4011
1993-01,26.707329
1993-02,26.511454
1993-03,26.51891
1993-04,27.149122
1993-05,27.706898
1993-06,28.268
1993-07,28.235287
1993-08,28.40406
1993-09,28.413977
1993-10,28.358627
1993-11,27.995646
1993-12,27.416155
1994-01,26.741299
1994-02,26.378674
1994-03,26.624767
1994-04,27.077152
1994-05,27.694208
